DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"6,305.50","6,325.00","6,212.00","6,293.50","6,228.00","6,229.00","6,262.82","7,071.50","5,596.00",169295,"1,06,02,63,634.50",19374
16-Apr-2026,EQ,"6,200.00","6,313.00","6,180.00","6,177.50","6,297.00","6,293.50","6,269.00","7,071.50","5,596.00",350424,"2,19,68,09,280.50",36437
15-Apr-2026,EQ,"6,124.00","6,184.00","6,101.00","6,070.00","6,179.00","6,177.50","6,153.61","7,071.50","5,596.00",251355,"1,54,67,39,945.00",31420
13-Apr-2026,EQ,"6,009.00","6,116.00","5,970.00","6,116.50","6,078.00","6,070.00","6,058.58","7,071.50","5,596.00",211392,"1,28,07,34,608.00",27901
10-Apr-2026,EQ,"5,931.00","6,130.00","5,931.00","5,952.50","6,120.00","6,116.50","6,060.35","7,071.50","4,955.00",334871,"2,02,94,34,390.50",36159
09-Apr-2026,EQ,"5,852.00","5,964.00","5,852.00","5,882.00","5,955.50","5,952.50","5,927.34","7,071.50","4,955.00",237284,"1,40,64,62,914.00",30910
08-Apr-2026,EQ,"5,920.00","5,984.50","5,870.00","5,850.00","5,888.50","5,882.00","5,915.20","7,071.50","4,955.00",302280,"1,78,80,45,643.00",31142
07-Apr-2026,EQ,"5,788.00","5,907.00","5,708.00","5,821.00","5,865.00","5,850.00","5,824.75","7,071.50","4,955.00",347412,"2,02,35,89,334.50",32801
06-Apr-2026,EQ,"5,860.00","5,903.50","5,727.00","5,856.50","5,830.00","5,821.00","5,802.15","7,071.50","4,955.00",346192,"2,00,86,57,353.50",37368
02-Apr-2026,EQ,"5,851.00","5,869.50","5,647.50","5,906.50","5,848.50","5,856.50","5,759.59","7,071.50","4,955.00",513534,"2,95,77,46,750.00",53164
01-Apr-2026,EQ,"6,002.00","6,123.00","5,834.00","5,947.00","5,905.00","5,906.50","5,947.14","7,071.50","4,955.00",546653,"3,25,10,20,565.00",57663
30-Mar-2026,EQ,"5,960.00","5,990.00","5,901.50","5,997.50","5,960.00","5,947.00","5,935.85","7,071.50","4,955.00",492229,"2,92,17,95,906.00",51227
27-Mar-2026,EQ,"6,011.50","6,060.00","5,935.00","6,014.50","6,045.00","5,997.50","6,006.04","7,071.50","4,955.00",540647,"3,24,71,47,812.00",59116
25-Mar-2026,EQ,"6,026.00","6,137.50","5,996.50","6,026.00","6,015.00","6,014.50","6,064.87","7,071.50","4,955.00",250204,"1,51,74,54,859.50",44561
24-Mar-2026,EQ,"6,090.00","6,092.00","5,946.00","6,013.50","6,020.00","6,026.00","6,021.07","7,071.50","4,955.00",228968,"1,37,86,32,945.00",48329
23-Mar-2026,EQ,"6,036.50","6,047.00","5,982.00","6,100.00","6,015.00","6,013.50","6,011.95","7,071.50","4,955.00",227221,"1,36,60,41,681.00",31049
20-Mar-2026,EQ,"6,050.00","6,180.00","6,030.50","5,972.50","6,101.00","6,100.00","6,101.06","7,071.50","4,955.00",283471,"1,72,94,74,421.00",24582
19-Mar-2026,EQ,"6,100.00","6,117.00","5,955.00","6,140.00","5,998.00","5,972.50","6,027.72","7,071.50","4,955.00",122495,"73,83,65,311.50",17460
18-Mar-2026,EQ,"6,086.50","6,183.00","6,086.50","6,086.50","6,124.00","6,140.00","6,143.72","7,071.50","4,955.00",180112,"1,10,65,57,476.00",23477
17-Mar-2026,EQ,"6,074.00","6,147.00","6,051.50","6,071.00","6,090.00","6,086.50","6,096.70","7,071.50","4,955.00",183604,"1,11,93,77,786.00",28234
16-Mar-2026,EQ,"6,010.00","6,130.00","5,927.00","6,071.00","6,066.50","6,071.00","6,019.21","7,071.50","4,955.00",282845,"1,70,25,04,555.00",42125
13-Mar-2026,EQ,"6,275.00","6,326.00","6,055.00","6,282.00","6,070.00","6,071.00","6,136.26","7,071.50","4,955.00",200936,"1,23,29,95,153.50",31518
12-Mar-2026,EQ,"6,330.00","6,330.50","6,221.00","6,352.50","6,285.50","6,282.00","6,274.31","7,071.50","4,955.00",153876,"96,54,65,172.50",21740
11-Mar-2026,EQ,"6,373.00","6,450.00","6,330.00","6,372.00","6,330.00","6,352.50","6,404.82","7,071.50","4,955.00",254117,"1,62,75,72,823.00",36464
10-Mar-2026,EQ,"6,364.50","6,479.00","6,354.00","6,330.00","6,379.00","6,372.00","6,413.55","7,071.50","4,955.00",298252,"1,91,28,52,744.00",44522
09-Mar-2026,EQ,"6,277.00","6,364.00","6,173.50","6,329.00","6,333.50","6,330.00","6,296.66","7,071.50","4,955.00",260778,"1,64,20,29,792.00",26665
06-Mar-2026,EQ,"6,340.00","6,428.00","6,315.00","6,364.50","6,325.00","6,329.00","6,382.42","7,071.50","4,955.00",269349,"1,71,90,98,991.50",34855
